word,translation,reference,has_letter_outside_alphabet,has_letter_from_emakhuwa,vowel_seq,consonat_seq,label,tag,match_,match_in_portuguese_not_stopword_,distance_match_emakhuwa_,distance_soundex_match_emakhuwa_,distance_soundex_translation_emakhuwa_,start_with_f,start_with_ch,consonat_vowels,vowel_consonat
omoçambique,moçambique,moçambique,1,0,1,0,1,loan,moçambique,1,0.090909091,0,0,0,0,1,0
wuniversitaate,universidade,universidade,0,0,0,0,1,loan,universidade,1,0.285714286,0.4,0.4,0,0,0,0
eparaaxi,paragem,paragem,0,0,0,0,1,loan,paragem,1,0.5,0.333333333,0.333333333,0,0,0,0
eformasau,formação,formação,0,0,1,0,1,loan,formação,1,0.444444444,0,0,0,0,0,1
ikrime,crime,crimes,0,0,0,1,1,loan,crime,1,0.333333333,0.333333333,0.333333333,0,0,0,0
esekulu,século,século,0,0,0,0,1,loan,século,1,0.571428571,0,0,0,0,0,0
ikhaama,camas,camas,0,1,0,0,1,loan,camas,1,0.714285714,0,0,0,0,0,0
iteknoloxia,tecnologia,tecnologia,0,0,1,1,1,loan,tecnologia,1,0.272727273,0.4,0.4,0,0,0,0
ekompaaso,compasso,compasso,0,0,0,0,1,loan,compasso,1,0.333333333,0,0,0,0,0,0
mwaartiikuni,artigo,artigo,0,1,0,1,1,loan,artigo,1,0.666666667,0.666666667,0.666666667,0,0,0,0
grã-bretanha,gre-bretanha,grã-bretanha,1,0,0,1,1,loan,grã-bretanha,1,0,0,0.2,0,0,0,0
artiku,artigo,artigo,0,0,0,1,1,loan,artigo,1,0.333333333,0.333333333,0.333333333,0,0,0,0
osufala,sofala,sofala,0,0,0,0,1,loan,sofala,1,0.285714286,0,0,0,0,0,0
etekereeto,terreno,terreno,0,0,0,0,1,loan,terreno,1,0.5,0.5,0.5,0,0,0,0
presidenti,presidente,presidente,1,0,0,1,1,loan,presidente,1,0.1,0,0,0,0,0,0
onetflix,netflix,netflix,0,0,0,1,1,loan,netflix,1,0.125,0,0,0,0,0,0
pilato,pilatos,pilatos,0,0,0,0,1,loan,pilatos,1,0.142857143,0,0,0,0,0,0
